alerte_id,timestamp,machine_id,machine_nom,atelier,usine,type_alerte,pattern_detecte,niveau_severite,score_ml,valeur_actuelle,seuil_config,unite,capteur_id,statut_resolue,resolue_par,date_resolution,delai_resolution_min,commentaire,action_recommandee,impact_production_eur
ALT-00001,2026-01-12 23:34:00,M-019,Moteur 400kW,Broyage,Casablanca,seuil,Accélération > 2.5g,alerte,0.745,9.42,7.1,mm/s,M-019-SEN-01,oui,T-005 Hicham R.,2026-01-12 23:49:00,15,Analyse ML confirmée par inspection visuelle,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,1767.8
ALT-00002,2026-01-12 23:58:59,C-118,Compresseur,Air comprimé,Tanger,vibratoire,Crest factor anormal,alerte,0.772391,5.9,4.5,mm/s,C-118-SEN-01,oui,T-006 Karim E.,2026-01-13 03:58:59,240,Confirmé par analyse vibratoire Cat III,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,758.18
ALT-00003,2026-01-12 06:30:47,V-302,Ventilateur,Ventilation,Casablanca,vibratoire,Kurtosis excessif,critique,0.874703,5.68,4.5,mm/s,V-302-SEN-01,oui,T-005 Hicham R.,2026-01-12 07:00:47,30,Faux positif probable — vérification en cours,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,7517.22
ALT-00004,2026-01-12 08:46:33,M-019,Moteur 400kW,Broyage,Casablanca,thermique,Surchauffe palier,alerte,0.679291,95.6,80,°C,M-019-SEN-02,oui,T-005 Hicham R.,2026-01-12 08:51:33,5,Analyse ML confirmée par inspection visuelle,Contrôler circuit refroidissement — vérifier charge machine — inspection visuelle,144.05
ALT-00005,2026-01-14 02:17:32,P-204,Pompe HP,Pomperie,Casablanca,batterie,Déconnexion > 24h,critique,0.818941,12,15,%,P-204-SEN-05,non,,,,Confirmé par analyse vibratoire Cat III,Remplacement batterie capteur sous 48h,9325.2
ALT-00006,2026-01-14 22:40:51,M-019,Moteur 400kW,Broyage,Casablanca,seuil,Dépassement ISO C,critique,0.823204,8.64,7.1,mm/s,M-019-SEN-01,oui,T-002 Fatima Z.,2026-01-14 22:45:51,5,,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,2481.57
ALT-00007,2026-01-19 02:23:01,M-019,Moteur 400kW,Broyage,Casablanca,seuil,Dépassement ISO C,info,0.580654,7.29,7.1,mm/s,M-019-SEN-01,oui,T-005 Hicham R.,2026-01-19 02:28:01,5,Alerte générée automatiquement par le système de surveillance,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,0
ALT-00008,2026-01-23 19:15:45,P-204,Pompe HP,Pomperie,Casablanca,vibratoire,Kurtosis excessif,critique,0.87485,5.79,4.5,mm/s,P-204-SEN-01,oui,T-005 Hicham R.,2026-01-23 19:45:45,30,,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,4460.83
ALT-00009,2026-01-24 18:31:21,P-204,Pompe HP,Pomperie,Casablanca,batterie,Batterie < 15%,critique,0.87877,4,15,%,P-204-SEN-08,oui,T-004 Samira K.,2026-01-24 20:31:21,120,Faux positif probable — vérification en cours,Remplacement batterie capteur sous 48h,6801.45
ALT-00010,2026-01-24 02:50:50,R-077,Réducteur,Convoyage,Tanger,seuil,Accélération > 2.5g,critique,0.830015,11.19,7.1,mm/s,R-077-SEN-01,oui,T-005 Hicham R.,2026-01-24 02:55:50,5,Dérive lente détectée — tendance à surveiller,ARRÊT D'URGENCE recommandé — zone ISO D — diagnostic immédiat requis,7162.32
ALT-00011,2026-01-24 20:34:43,V-302,Ventilateur,Ventilation,Casablanca,communication,Latence > 5s,critique,0.903466,8.8,5.0,s,GW-Modbus-02,oui,Système Auto,2026-01-24 20:49:43,15,,Vérifier connectivité réseau — redémarrer passerelle si persistant,5019.61
ALT-00012,2026-01-24 06:46:40,P-311,Pompe BP,Pomperie,Casablanca,vibratoire,V_RMS > seuil,critique,0.829868,3.34,4.5,mm/s,P-311-SEN-01,non,,,,Confirmé par analyse vibratoire Cat III,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,12895.07
ALT-00013,2026-01-24 11:03:22,M-019,Moteur 400kW,Broyage,Casablanca,batterie,Batterie < 15%,critique,0.821685,7,15,%,M-019-SEN-08,non,,,,,Remplacement batterie capteur sous 48h,6886.55
ALT-00014,2026-01-25 18:30:00,C-118,Compresseur,Air comprimé,Tanger,vibratoire,Kurtosis excessif,critique,0.874409,7.42,4.5,mm/s,C-118-SEN-01,oui,T-002 Fatima Z.,2026-01-25 19:00:00,30,Seuil dynamique adaptatif activé,Analyser spectre FFT — vérifier BPFO/BPFI — planifier inspection roulement,7941.91
